duration,pkt_rate,packet_rate,avg_pkt_size,byte_rate,avg_size,syn_ratio,fin_ratio,rst_ratio,flag_entropy,ttl_entropy,ipid_entropy,session_coherence,burstiness,suspicion_score
134104.81346607208,8.948224668338208e-05,8.948224668338208e-05,96.0,0.008590295681604678,96.0,0.0,0.0,0.0,0.0,1.0,3.584962500721156,2.526919611827905,2.526919611827905,0.25664776274189816
8415.490463018417,0.0009506278968713379,0.0009506278968713379,96.0,0.09126027809964844,96.0,0.0,0.0,0.0,0.0,1.0,3.0,1.4005406743135793,1.4005406743135793,0.17736580231098498
133852.93667697906,0.00010459240079121711,0.00010459240079121711,96.0,0.010040870475956844,96.0,0.0,0.0,0.0,0.0,1.0,3.8073549220576055,2.818349153707771,2.818349153707771,0.2785813841347237
132914.72000098228,0.00013542518089694635,0.00013542518089694635,96.0,0.013000817366106851,96.0,0.0,0.0,0.0,0.0,1.0,4.169925001442312,3.2426788464987935,3.2426788464987935,0.3112925682148626
122637.83078694344,4.8924544420748074e-05,4.8924544420748074e-05,96.0,0.004696756264391816,96.0,0.0,0.0,0.0,0.0,1.0,2.584962500721156,1.649176175598936,1.649176175598936,0.18398315535142895
0.02490997314453125,80.28912710566615,80.28912710566615,83.0,6663.997549770291,83.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.05574200714650332
131126.8500878811,6.100962537145068e-05,6.100962537145068e-05,96.0,0.005856924035659266,96.0,0.0,0.0,0.0,0.0,1.0,3.0,2.1401075571700496,2.1401075571700496,0.22173978859382504
19338.9979660511,0.000620507847462705,0.000620507847462705,96.0,0.05956875335641968,96.0,0.0,0.0,0.0,0.0,1.0,3.584962500721156,1.580147020981029,1.580147020981029,0.19984142322185364
132003.1949801445,3.03022968542668e-05,3.03022968542668e-05,96.0,0.002909020498009613,96.0,0.0,0.0,0.0,0.0,1.0,2.0,1.41421353852473,1.41421353852473,0.15818614655388602
134516.4735531807,0.00010407647204983516,0.00010407647204983516,96.0,0.009991341316784174,96.0,0.0,0.0,0.0,0.0,1.0,3.8073549220576055,2.9229366217190247,2.9229366217190247,0.2848566321999211
125501.76065802574,7.968015705571305e-05,7.968015705571305e-05,96.0,0.007649295077348453,96.0,0.0,0.0,0.0,0.0,1.0,3.321928094887362,2.4844449001684987,2.4844449001684987,0.2488385916315952
14007.290788888931,0.0008566967146508315,0.0008566967146508315,96.0,0.08224288460647981,96.0,0.0,0.0,0.0,0.0,1.0,3.584962500721156,1.470597453760426,1.470597453760426,0.19326845627428346
132170.67265295982,4.539584977186417e-05,4.539584977186417e-05,96.0,0.00435800157809896,96.0,0.0,0.0,0.0,0.0,1.0,2.584962500721156,1.9469874867389398,1.9469874867389398,0.20185183391396835
130511.10578393936,0.00010727056456924782,0.00010727056456924782,96.0,0.01029797419864779,96.0,0.0,0.0,0.0,0.0,1.0,3.8073549220576055,3.1282990403084785,3.1282990403084785,0.2971783774111111
133021.52603888512,6.014064218193846e-05,6.014064218193846e-05,96.0,0.005773501649466092,96.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0366108210837957,2.0366108210837957,0.2155299844025803
132958.32593798637,0.00010529615126569656,0.00010529615126569656,96.0,0.01010843052150687,96.0,0.0,0.0,0.0,0.0,1.0,3.8073549220576055,2.97074190622015,2.97074190622015,0.287724949306579
129943.42828297615,9.234787906216967e-05,9.234787906216967e-05,96.0,0.00886539638996829,96.0,0.0,0.0,0.0,0.0,1.0,3.584962500721156,2.813119853306876,2.813119853306876,0.2738197773166054
10538.827455997467,0.000759097730122466,0.000759097730122466,96.0,0.07287338209175673,96.0,0.0,0.0,0.0,0.0,1.0,3.0,1.437333820669643,1.437333820669643,0.17957338534644382
126912.61585593224,9.45532476741483e-05,9.45532476741483e-05,96.0,0.009077111776718235,96.0,0.0,0.0,0.0,0.0,1.0,3.584962500721156,2.675482073979688,2.675482073979688,0.26556151062313516
129017.20018315315,0.0001240144723128882,0.0001240144723128882,96.0,0.011905389342037267,96.0,0.0,0.0,0.0,0.0,1.0,4.0,3.173582050399041,3.173582050399041,0.30374826007771
123061.59186387062,6.500809780560544e-05,6.500809780560544e-05,96.0,0.006240777389338122,96.0,0.0,0.0,0.0,0.0,1.0,3.0,2.1209131188839,2.1209131188839,0.22058812241661024
125950.70540189743,4.7637684766072063e-05,4.7637684766072063e-05,96.0,0.004573217737542918,96.0,0.0,0.0,0.0,0.0,1.0,2.584962500721156,1.7960305925770177,1.7960305925770177,0.19279442033150807
13840.920670986176,0.0004334971742578809,0.0004334971742578809,96.0,0.04161572872875657,96.0,0.0,0.0,0.0,0.0,1.0,2.584962500721156,1.6047851610517596,1.6047851610517596,0.1813197060157773
13235.260411024094,0.0004533344878505298,0.0004533344878505298,96.0,0.04352011083365086,96.0,0.0,0.0,0.0,0.0,1.0,2.584962500721156,1.579950861376676,1.579950861376676,0.17982964863039166
131253.71461892128,6.095065593554436e-05,6.095065593554436e-05,96.0,0.005851262969812259,96.0,0.0,0.0,0.0,0.0,1.0,3.0,2.18661359537777,2.18661359537777,0.22453015088451922
122208.3802819252,9.819293875196559e-05,9.819293875196559e-05,96.0,0.009426522120188695,96.0,0.0,0.0,0.0,0.0,1.0,3.584962500721156,2.65773626886932,2.65773626886932,0.26449676242570386
130717.88315796852,7.650062683401405e-05,7.650062683401405e-05,96.0,0.007344060176065349,96.0,0.0,0.0,0.0,0.0,1.0,3.321928094887362,2.2365296775512364,2.2365296775512364,0.23396367817917357
130777.993475914,0.00015293092873216085,0.00015293092873216085,96.0,0.014681369158287442,96.0,0.0,0.0,0.0,0.0,1.0,4.321928094887363,3.570051001539011,3.570051001539011,0.33397495991134907
133451.6045229435,0.0001049069439820266,0.0001049069439820266,96.0,0.010071066622274553,96.0,0.0,0.0,0.0,0.0,1.0,3.8073549220576055,2.9643334463680717,2.9643334463680717,0.28734044170377804
133915.5269870758,0.00011947830367380894,0.00011947830367380894,96.0,0.011469917152685659,96.0,0.0,0.0,0.0,0.0,1.0,4.0,3.154791250040968,3.154791250040968,0.30262081192014056
132235.81233096123,4.53734876674946e-05,4.53734876674946e-05,96.0,0.004355854816079482,96.0,0.0,0.0,0.0,0.0,1.0,2.584962500721156,1.9655779143296639,1.9655779143296639,0.20296725956874093
17967.546252012253,0.0005565590236830509,0.0005565590236830509,96.0,0.05342966627357289,96.0,0.0,0.0,0.0,0.0,1.0,3.321928094887362,1.5491224747842953,1.5491224747842953,0.192719260414909
125819.40883278847,0.000111270591158203,0.000111270591158203,96.0,0.010681976751187486,96.0,0.0,0.0,0.0,0.0,1.0,3.8073549220576055,3.0361001873609252,3.0361001873609252,0.2916464463542586
132737.8473160267,7.533646357991378e-05,7.533646357991378e-05,96.0,0.007232300503671722,96.0,0.0,0.0,0.0,0.0,1.0,3.321928094887362,2.5328888059088146,2.5328888059088146,0.25174522584570336
5874.306201934814,0.00068093147726663,0.00068093147726663,96.0,0.06536942181759649,96.0,0.0,0.0,0.0,0.0,1.0,2.0,1.4142130062368703,1.4142130062368703,0.15818613413548988
133288.67925596237,9.003015160016455e-05,9.003015160016455e-05,96.0,0.008642894553615797,96.0,0.0,0.0,0.0,0.0,1.0,3.584962500721156,2.3802284709983605,2.3802284709983605,0.24784629430856264
132688.68156790733,7.536437834663544e-05,7.536437834663544e-05,96.0,0.007234980321277002,96.0,0.0,0.0,0.0,0.0,1.0,3.321928094887362,2.4241319888761272,2.4241319888761272,0.24521981682457955
130441.71825385094,4.599755415919528e-05,4.599755415919528e-05,96.0,0.004415765199282747,96.0,0.0,0.0,0.0,0.0,1.0,2.584962500721156,1.8853087055658069,1.8853087055658069,0.1981511070616315
126018.45865297318,9.522414516309339e-05,9.522414516309339e-05,96.0,0.009141517935656965,96.0,0.0,0.0,0.0,0.0,1.0,3.584962500721156,2.8403990267107972,2.8403990267107972,0.27545652780712865
9353.567953824997,0.0010691107446234626,0.0010691107446234626,96.0,0.1026346314838524,96.0,0.0,0.0,0.0,0.0,1.0,3.321928094887362,1.4856225051699277,1.4856225051699277,0.18890927761459858
7118.714835166931,0.0005618991759916734,0.0005618991759916734,96.0,0.05394232089520065,96.0,0.0,0.0,0.0,0.0,1.0,2.0,1.4142131376985332,1.4142131376985332,0.15818613845222063
14406.51297211647,0.0006941304963494503,0.0006941304963494503,96.0,0.06663652764954722,96.0,0.0,0.0,0.0,0.0,1.0,3.321928094887362,1.3568130528885438,1.3568130528885438,0.1811806992283081
132932.8476448059,4.513557112709936e-05,4.513557112709936e-05,96.0,0.004333014828201539,96.0,0.0,0.0,0.0,0.0,1.0,2.584962500721156,1.7420041078963495,1.7420041078963495,0.18955283117560454
132568.88792991638,0.00010560547213310873,0.00010560547213310873,96.0,0.01013812532477844,96.0,0.0,0.0,0.0,0.0,1.0,3.8073549220576055,2.859040820957981,2.859040820957981,0.28102288420012844
12120.57337808609,0.0004950260860470477,0.0004950260860470477,96.0,0.047522504260516574,96.0,0.0,0.0,0.0,0.0,1.0,2.584962500721156,1.7066012709191962,1.7066012709191962,0.18742867445369082
132809.68077802658,7.529571595547803e-05,7.529571595547803e-05,96.0,0.007228388731725891,96.0,0.0,0.0,0.0,0.0,1.0,3.321928094887362,2.3580561776111946,2.3580561776111946,0.24125526814662374
134088.8669040203,0.00010440836978674064,0.00010440836978674064,96.0,0.0100232034995271,96.0,0.0,0.0,0.0,0.0,1.0,3.8073549220576055,2.6044637396752846,2.6044637396752846,0.2657482592872536
127333.79410290718,0.0001570674944613417,0.0001570674944613417,96.0,0.015078479468288804,96.0,0.0,0.0,0.0,0.0,1.0,4.321928094887363,3.5117772193001433,3.5117772193001433,0.330478533101114
125038.8297097683,7.997515670301239e-05,7.997515670301239e-05,96.0,0.007677615043489189,96.0,0.0,0.0,0.0,0.0,1.0,3.321928094887362,2.41467288102748,2.41467288102748,0.24465227049198407
131653.83885097504,0.00015191353457333598,0.00015191353457333598,96.0,0.014583699319040255,96.0,0.0,0.0,0.0,0.0,1.0,4.321928094887363,3.3697453197594043,3.3697453197594043,0.32195661897405087
123688.25727009773,6.467873488208683e-05,6.467873488208683e-05,96.0,0.006209158548680336,96.0,0.0,0.0,0.0,0.0,1.0,3.0,2.023808485071529,2.023808485071529,0.21476184437798712
